Date,Open,High,Low,Close,Adj Close,Volume,Interest Rate,SP_Open,SP_High,SP_Low,SP_Close,SP_AdjClose,SP_Volume
4/6/2020,0.739265881,0.934690673,0.73026937,0.915778268,0.915778268,0.759122842,0,0.536283347,0.418544968,0.541590692,0.478744192,0.478744192,0.507380257
5/6/2020,0.914969762,0.911017551,0.913553147,0.751957674,0.751957674,0.624789259,0.333333333,0.774287535,0.880551216,0.860380307,0.832993183,0.832993183,1
8/6/2020,0.86609987,0.799009992,0.930383014,0.880435336,0.880435336,0.512113103,0.333333333,0.938541382,1,1,1,1,0.96825454
9/6/2020,0.883500766,0.868667906,0.915549692,0.909792455,0.909792455,0.636384659,0.333333333,0.999544751,0.941865655,0.98745333,0.890529333,0.890529333,0.4982934
10/6/2020,0.907549422,0.962117217,1,1,1,0.747136314,0.666666667,1,0.944989958,0.937006165,0.816535672,0.816535672,0.540607171
11/6/2020,1,1,0.381983363,0.335139142,0.335139142,1,0.666666667,0.590776655,0.388529346,0.146869845,0,0,0.639322043
12/6/2020,0.331333736,0.48740533,0.412248065,0.528011348,0.528011348,0.574720572,0.666666667,0.351816444,0.192646731,0.081661891,0.170263581,0.170263581,0.370951328
15/6/2020,0.410865575,0.44152875,0.019462087,0.491462965,0.491462965,0.802443908,1,0,0.144331622,0,0.280038213,0.280038213,0.351172331
16/6/2020,0.493910875,0.537610366,0.564478382,0.597346112,0.597346112,0.516523227,1,0.624783757,0.555456371,0.479291482,0.53254592,0.53254592,0.371059398
17/6/2020,0.59069266,0.487349967,0.467362538,0.527297314,0.527297314,0.439235424,1,0.648138032,0.486889087,0.618086307,0.483694472,0.483694472,0.081666884
18/6/2020,0.527138979,0.413081746,0.468764919,0.444341424,0.444341424,0.305155204,1,0.491122644,0.368835081,0.555049058,0.491727821,0.491727821,0.056504667
19/6/2020,0.440391234,0.359086797,0.396897118,0.29419998,0.29419998,0.408857383,1,0.667076391,0.567060924,0.509898411,0.415302445,0.415302445,0.934111285
22/6/2020,0.307264873,0.635073564,0.426888089,0.731568021,0.731568021,0.49082085,0.666666667,0.458253665,0.373967864,0.493748372,0.502670546,0.502670546,0.110089202
23/6/2020,0.724930349,0.655003328,0.759494934,0.708457223,0.708457223,0.262627716,0.666666667,0.659837931,0.563546083,0.700963793,0.560988319,0.560988319,0.115753853
24/6/2020,0.710414151,0.667664057,0.40212783,0.32523147,0.32523147,0.371516992,0.666666667,0.549212419,0.340995314,0.288573413,0.209431586,0.209431586,0.315194143
25/6/2020,0.32334525,0.229318734,0.159144924,0.26606252,0.26606252,0.352266846,0.666666667,0.240553583,0.180540058,0.253321177,0.354596378,0.354596378,0.146337565
26/6/2020,0.258677864,0.191122643,0.167665586,0.142508499,0.142508499,0.33697539,0.666666667,0.361649822,0.110689578,0.169184684,0.030179339,0.030179339,0.880346633
29/6/2020,0.111448933,0.097137306,0.088142423,0.176383101,0.176383101,0.232227432,0.666666667,0.113038332,0,0.147955197,0.222067828,0.222067828,0.062196336
30/6/2020,0.166890517,0.07170638,0.145214521,0.112285775,0.112285775,0.191866298,0.666666667,0.256942548,0.321468422,0.356733524,0.42637544,0.42637544,0.114402983
1/7/2020,0.118698118,0.190141191,0.171647,0.221818431,0.221818431,0.20499531,0.666666667,0.510607302,0.415922785,0.588304246,0.493985844,0.493985844,0.056626246
2/7/2020,0.222340419,0.14531275,0.081164248,0.094603059,0.094603059,0.225453867,1,0.682327233,0.624414193,0.689676131,0.55543011,0.55543011,0
