,Date,Close,price_change,next_day_close_increased,sentiment_polarity,sentiment_subjectivity
0,2021-10-12,56041.058594,-1360.0390619999962,0,0.16,0.5
1,2021-10-15,61593.949219,701.7695310000054,1,0.0,0.0
2,2021-10-18,62026.078125,-2235.9140629999965,0,0.14,0.45
3,2021-10-19,64261.992188,-1730.8437500000073,0,0.1,0.4
4,2021-10-27,58482.386719,-2139.75,0,0.0,0.0
5,2021-10-29,62227.964844,339.1328130000038,1,0.2,0.33
6,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.0
7,2021-11-10,64995.230469,45.26953100000537,1,0.14,0.35
8,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.0
9,2021-11-10,64995.230469,45.26953100000537,1,0.16,0.54
10,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.0
11,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.12
12,2021-11-10,64995.230469,45.26953100000537,1,0.25,0.5
13,2021-11-10,64995.230469,45.26953100000537,1,-0.02,0.47
14,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.0
15,2021-11-10,64995.230469,45.26953100000537,1,0.11,0.47
16,2021-11-10,64995.230469,45.26953100000537,1,0.0,0.0
17,2021-11-10,64995.230469,45.26953100000537,1,0.06,0.31
18,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.0
19,2021-11-11,64949.960938,794.0195319999984,1,-0.12,0.52
20,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.25
21,2021-11-11,64949.960938,794.0195319999984,1,0.35,0.76
22,2021-11-11,64949.960938,794.0195319999984,1,-0.12,0.38
23,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.05
24,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.75
25,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.0
26,2021-11-11,64949.960938,794.0195319999984,1,0.38,0.57
27,2021-11-11,64949.960938,794.0195319999984,1,0.0,0.0
28,2021-11-12,64155.941406,-313.5859380000038,0,0.24,0.82
29,2021-11-12,64155.941406,-313.5859380000038,0,0.03,0.25
30,2021-11-12,64155.941406,-313.5859380000038,0,0.5,0.5
